cold_run_id,restore_run_id,cold_response_s,restore_response_s,delta_s,kdat_cache,dump_phase,repeat_id
crossover2_initburst_300_cpuidle_rep04,crossover2_initburst_300_cpuidle_kon_rep04,0.324093,0.0573859,-0.266707,on,served_first,04
crossover2_initburst_300_cpuidle_rep05,crossover2_initburst_300_cpuidle_koff_rep05,0.316679,0.13146,-0.185219,off,served_first,05
crossover2_initburst_300_cpuidle_rep05,crossover2_initburst_300_cpuidle_kon_rep05,0.316679,0.0705669,-0.246112,on,served_first,05
crossover2_initburst_300_cpuidle_rep06,crossover2_initburst_300_cpuidle_koff_rep06,0.311922,0.131275,-0.180647,off,served_first,06
crossover2_initburst_300_cpuidle_rep06,crossover2_initburst_300_cpuidle_kon_rep06,0.311922,0.0605659,-0.251356,on,served_first,06
crossover2_initburst_300_cpuidle_rep07,crossover2_initburst_300_cpuidle_koff_rep07,0.321714,0.130262,-0.191452,off,served_first,07
crossover2_initburst_300_cpuidle_rep07,crossover2_initburst_300_cpuidle_kon_rep07,0.321714,0.0576911,-0.264023,on,served_first,07
crossover2_initburst_300_cpuidle_rep08,crossover2_initburst_300_cpuidle_koff_rep08,0.314785,0.137842,-0.176943,off,served_first,08
crossover2_initburst_300_cpuidle_rep08,crossover2_initburst_300_cpuidle_kon_rep08,0.314785,0.0607541,-0.254031,on,served_first,08
crossover2_initburst_300_cpuidle_rep09,crossover2_initburst_300_cpuidle_koff_rep09,0.317135,0.135221,-0.181914,off,served_first,09
crossover2_initburst_300_cpuidle_rep09,crossover2_initburst_300_cpuidle_kon_rep09,0.317135,0.0739958,-0.243139,on,served_first,09
crossover2_initburst_300_cpuidle_rep10,crossover2_initburst_300_cpuidle_koff_rep10,0.320166,0.131215,-0.188951,off,served_first,10
crossover2_initburst_300_cpuidle_rep10,crossover2_initburst_300_cpuidle_kon_rep10,0.320166,0.0596271,-0.260539,on,served_first,10
crossover2_initburst_500_cpubusy_rep01,crossover2_initburst_500_cpubusy_koff_rep01,0.974587,0.218323,-0.756264,off,served_first,01
crossover2_initburst_500_cpubusy_rep01,crossover2_initburst_500_cpubusy_kon_rep01,0.974587,0.0964491,-0.878138,on,served_first,01
crossover2_initburst_500_cpubusy_rep02,crossover2_initburst_500_cpubusy_koff_rep02,1.03888,0.211415,-0.827465,off,served_first,02
crossover2_initburst_500_cpubusy_rep02,crossover2_initburst_500_cpubusy_kon_rep02,1.03888,0.105138,-0.933742,on,served_first,02
crossover2_initburst_500_cpubusy_rep03,crossover2_initburst_500_cpubusy_koff_rep03,0.577416,0.22126,-0.356156,off,served_first,03
crossover2_initburst_500_cpubusy_rep03,crossover2_initburst_500_cpubusy_kon_rep03,0.577416,0.103328,-0.474088,on,served_first,03
crossover2_initburst_500_cpubusy_rep04,crossover2_initburst_500_cpubusy_koff_rep04,0.987387,0.210267,-0.77712,off,served_first,04
crossover2_initburst_500_cpubusy_rep04,crossover2_initburst_500_cpubusy_kon_rep04,0.987387,0.120716,-0.866671,on,served_first,04
crossover2_initburst_500_cpubusy_rep05,crossover2_initburst_500_cpubusy_koff_rep05,0.581871,0.217837,-0.364034,off,served_first,05
crossover2_initburst_500_cpubusy_rep05,crossover2_initburst_500_cpubusy_kon_rep05,0.581871,0.107146,-0.474725,on,served_first,05
crossover2_initburst_500_cpubusy_rep06,crossover2_initburst_500_cpubusy_koff_rep06,0.622129,0.213951,-0.408178,off,served_first,06
crossover2_initburst_500_cpubusy_rep06,crossover2_initburst_500_cpubusy_kon_rep06,0.622129,0.116863,-0.505266,on,served_first,06
crossover2_initburst_500_cpubusy_rep07,crossover2_initburst_500_cpubusy_koff_rep07,0.66616,0.212926,-0.453234,off,served_first,07
crossover2_initburst_500_cpubusy_rep07,crossover2_initburst_500_cpubusy_kon_rep07,0.66616,0.106087,-0.560073,on,served_first,07
crossover2_initburst_500_cpubusy_rep08,crossover2_initburst_500_cpubusy_koff_rep08,0.609219,0.235942,-0.373277,off,served_first,08
crossover2_initburst_500_cpubusy_rep08,crossover2_initburst_500_cpubusy_kon_rep08,0.609219,0.103503,-0.505716,on,served_first,08
crossover2_initburst_500_cpubusy_rep09,crossover2_initburst_500_cpubusy_koff_rep09,1.04685,0.233375,-0.813475,off,served_first,09
crossover2_initburst_500_cpubusy_rep09,crossover2_initburst_500_cpubusy_kon_rep09,1.04685,0.12098,-0.92587,on,served_first,09
crossover2_initburst_500_cpubusy_rep10,crossover2_initburst_500_cpubusy_koff_rep10,0.606075,0.202169,-0.403906,off,served_first,10
crossover2_initburst_500_cpubusy_rep10,crossover2_initburst_500_cpubusy_kon_rep10,0.606075,0.111702,-0.494373,on,served_first,10
crossover2_initburst_500_cpuidle_rep01,crossover2_initburst_500_cpuidle_koff_rep01,0.519904,0.129402,-0.390502,off,served_first,01
crossover2_initburst_500_cpuidle_rep01,crossover2_initburst_500_cpuidle_kon_rep01,0.519904,0.0568738,-0.46303,on,served_first,01
crossover2_initburst_500_cpuidle_rep02,crossover2_initburst_500_cpuidle_koff_rep02,0.517146,0.124761,-0.392385,off,served_first,02
crossover2_initburst_500_cpuidle_rep02,crossover2_initburst_500_cpuidle_kon_rep02,0.517146,0.0690689,-0.448077,on,served_first,02
crossover2_initburst_500_cpuidle_rep03,crossover2_initburst_500_cpuidle_koff_rep03,0.513623,0.140181,-0.373442,off,served_first,03
crossover2_initburst_500_cpuidle_rep03,crossover2_initburst_500_cpuidle_kon_rep03,0.513623,0.060441,-0.453182,on,served_first,03
crossover2_initburst_500_cpuidle_rep04,crossover2_initburst_500_cpuidle_koff_rep04,0.524782,0.146533,-0.378249,off,served_first,04
crossover2_initburst_500_cpuidle_rep04,crossover2_initburst_500_cpuidle_kon_rep04,0.524782,0.0649662,-0.459816,on,served_first,04
crossover2_initburst_500_cpuidle_rep05,crossover2_initburst_500_cpuidle_koff_rep05,0.523038,0.133132,-0.389906,off,served_first,05
crossover2_initburst_500_cpuidle_rep05,crossover2_initburst_500_cpuidle_kon_rep05,0.523038,0.0593488,-0.463689,on,served_first,05
crossover2_initburst_500_cpuidle_rep06,crossover2_initburst_500_cpuidle_koff_rep06,0.519322,0.137115,-0.382207,off,served_first,06
crossover2_initburst_500_cpuidle_rep06,crossover2_initburst_500_cpuidle_kon_rep06,0.519322,0.0619781,-0.457344,on,served_first,06
crossover2_initburst_500_cpuidle_rep07,crossover2_initburst_500_cpuidle_koff_rep07,0.515441,0.1435,-0.371941,off,served_first,07
crossover2_initburst_500_cpuidle_rep07,crossover2_initburst_500_cpuidle_kon_rep07,0.515441,0.0600419,-0.455399,on,served_first,07
crossover2_initburst_500_cpuidle_rep08,crossover2_initburst_500_cpuidle_koff_rep08,0.523495,0.137694,-0.385801,off,served_first,08
crossover2_initburst_500_cpuidle_rep08,crossover2_initburst_500_cpuidle_kon_rep08,0.523495,0.0674911,-0.456004,on,served_first,08
crossover2_initburst_500_cpuidle_rep09,crossover2_initburst_500_cpuidle_koff_rep09,0.521238,0.128818,-0.39242,off,served_first,09
crossover2_initburst_500_cpuidle_rep09,crossover2_initburst_500_cpuidle_kon_rep09,0.521238,0.06319,-0.458048,on,served_first,09
crossover2_initburst_500_cpuidle_rep10,crossover2_initburst_500_cpuidle_koff_rep10,0.523138,0.137408,-0.38573,off,served_first,10
