scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,launch_ok,dump_rc,restore_rc,img_kib,v_pong,v_stat,v_hub,v_tcp,v_live5,v_resume,rereg_ms,verdict,world,dump_err,restore_err
S061one_log.stri__db_open,S,db_open,strict,none,none,0,normal,1,1,na,284,na,na,na,na,na,na,na,dump_fail,"up_s=12714 regs=3236 log_rx=54600 svcs=4 mem_mib=843 memd_kills=90","(00.119348) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S061one_log.stri__log_open,S,log_open,strict,none,none,0,normal,1,1,na,276,na,na,na,na,na,na,na,dump_fail,"up_s=12714 regs=3236 log_rx=54600 svcs=4 mem_mib=842 memd_kills=90","(00.072484) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S061one_log.stri__epg_index,S,epg_index,strict,none,none,0,normal,1,1,na,13588,na,na,na,na,na,na,na,dump_fail,"up_s=12720 regs=3236 log_rx=54600 svcs=4 mem_mib=855 memd_kills=90","(00.135320) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S061one_log.stri__ready,S,ready,strict,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12729 regs=3236 log_rx=54650 svcs=4 mem_mib=855 memd_kills=90","(00.139492) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S061one_log.stri__steady,S,steady,strict,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12738 regs=3236 log_rx=54700 svcs=4 mem_mib=855 memd_kills=90","(00.140658) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S062one_log.ext___init,S,init,ext_unix,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12746 regs=3236 log_rx=54750 svcs=4 mem_mib=855 memd_kills=90","",""
S062one_log.ext___db_open,S,db_open,ext_unix,none,none,0,normal,1,0,0,288,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12754 regs=3236 log_rx=54750 svcs=4 mem_mib=855 memd_kills=90","",""
S062one_log.ext___log_open,S,log_open,ext_unix,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12762 regs=3236 log_rx=54800 svcs=4 mem_mib=855 memd_kills=90","",""
S062one_log.ext___epg_index,S,epg_index,ext_unix,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12771 regs=3236 log_rx=54850 svcs=4 mem_mib=855 memd_kills=90","",""
S062one_log.ext___ready,S,ready,ext_unix,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12779 regs=3236 log_rx=54900 svcs=4 mem_mib=855 memd_kills=90","(00.141791) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
